	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8335.0	1.38415043777e-05	-11.1878389159	0.0	-27.7341625262	0.00616446655855	9.01999412498e-13	2.20302390192e-05	0.000236232335906	0.0313706847384	-2528110.29777	-1.03834905986	-2528109.25942	-2528109.25942	-0.0102252182365
B	255.0	4.23493617663e-07	-14.6747273934	-2.0	-38.3780062992	0.000188607551074	2.15101598495e-17	5.25359502744e-10	1.12253240912e-08	0.00161746858651	-209719176.804	-1.81526003546	-209719174.989	-209719174.989	-0.848232458566
C	8945.0	1.48546231228e-05	-11.1171994198	-2.0	-29.5590503101	0.00661567015998	1.4543453947e-13	3.55206181043e-06	4.45712088373e-05	0.0331995113569	107387676.088	0.863225299141	107387675.224	107387675.224	0.434341360442
D	3068.0	5.09625524143e-06	-12.1870045543	-4.0	-34.2110503698	0.00226967345113	1.38780869543e-15	3.38955401185e-08	5.83002693176e-07	0.0138180427697	66.899897376	2.11715602506	64.7827413509	64.7827413509	2.62020981018e-07
E	139989.0	0.000232462961756	-8.3667796499	-2.0	-22.7408801982	0.10352994261	1.32972310885e-10	0.00324768702854	0.0186086368213	0.234794977857	139854781.493	-0.0282826688187	139854781.521	139854781.521	0.56565817207
F	24.0	4.10314972183e-08	-17.0089258403	-10.0	-52.1643819864	1.82738296032e-05	2.21460742365e-23	5.40890938516e-16	1.90141090056e-14	0.000199368222852	104859565.999	-0.164693949114	104859566.163	104859566.163	0.424116143007
A_ext	598724.0	0.000994228579652	-6.91354341834	0.0	-17.1383712474	0.442790657981	3.60495575197e-08	0.880466614159	0.112086277943	0.360723029769	-6.72495063419	-1.17467399527	-5.55027663892	-5.55027663892	-2.24487093248e-08
D_ext	5.0	8.5188646198e-09	-18.5809827656	-4.0	-50.0614422313	3.79397026745e-06	1.81381037958e-22	4.43001133305e-15	1.46413532501e-13	4.73567068785e-05	14.1260411463	1.07618443283	13.0498567134	13.0498567134	5.27815925491e-08
E_ext	592807.0	0.0009844022811	-6.9234759222	-2.0	-19.1629934893	0.438414407599	4.76011747543e-09	0.116260082091	0.250183036517	0.361512434414	-139854817.85	-1.00000000715	-139854816.85	-139854816.85	-0.565658314962
F_ext	6.0	1.01182867617e-08	-18.4089214797	-10.0	-55.6349098418	4.50629054983e-06	6.8875641129e-25	1.68220379708e-17	6.49731734401e-16	5.54725999645e-05	7.07186813768	1.16469395865	5.90717417903	5.90717417903	2.38922210014e-08
