	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	14880.0	2.47096050124e-05	-10.608318523	0.0	-26.2975568615	0.0114125546419	3.79416459853e-12	9.12884740516e-05	0.000849118465263	0.0510488276262	-757584.525727	-1.00000176441	-757583.525725	-757583.525725	-0.0130522764107
B	15.0	2.64179288645e-08	-17.4492229336	-2.0	-45.255859191	1.22015732968e-05	2.21630782368e-20	5.33248766621e-13	1.50694972829e-11	0.000138047937195	-1204075.37959	-2.00001782771	-1204073.37957	-1204073.37957	-0.0207447733949
C	83850.0	0.00013923995819	-8.87931179529	-2.0	-24.0114249323	0.064310361513	3.73224933453e-11	0.000897987785406	0.00629970228469	0.176469851821	300826.583093	1.00000763985	300825.583085	300825.583085	0.00518287228866
D	128.0	2.12961788686e-07	-15.3621530832	-4.0	-42.0821044676	9.83600526519e-05	5.29632031535e-19	1.27430686551e-11	3.19673048793e-10	0.000907555990024	-47378596.7267	2.00000464049	-47378598.7267	-47378598.7267	-0.816277737742
E	539.0	8.95372365255e-07	-13.9260261546	-2.0	-36.5220087294	0.000413543075182	1.37623671856e-16	3.31125724013e-09	6.46554032046e-08	0.00322181024848	-284039.551524	8.16555452143e-08	-284039.551525	-284039.551525	-0.00489366863476
F	3.0	6.11388533399e-09	-18.9127033683	-10.0	-56.8837630726	2.82380274447e-06	1.97558439788e-25	4.75330155979e-18	1.89598229703e-16	3.60809308616e-05	91342.2672226	-4.66511269188e-05	91342.2672693	91342.2672693	0.00157372023003
A_ext	602209.0	0.00100001580449	-6.90773947462	0.0	-17.1239835252	0.461874441368	3.65719777452e-08	0.87993020722	0.112554235095	0.35678054561	-733700.76116	-1.00000136296	-733699.761159	-733699.761159	-0.0126407871342
D_ext	6.0	1.00000831637e-08	-18.4206724276	-4.0	-49.6640399268	4.61870982853e-06	2.69886717208e-22	6.49353657199e-15	2.12130651994e-13	5.67426753256e-05	51676363.7801	1.00000001935	51676362.7801	51676362.7801	0.890323176256
E_ext	602199.0	0.000999998559792	-6.90775671919	-2.0	-19.1240262737	0.46186647661	4.94926738821e-09	0.119080513196	0.25339802504	0.356782357825	-1728456.73661	-1.00000057855	-1728455.73661	-1728455.73661	-0.0297792669346
F_ext	6.0	9.99996076947e-09	-18.420684667	-10.0	-55.6640702677	4.61865329865e-06	6.68961990497e-25	1.60953795559e-17	6.22376127449e-16	5.67420373633e-05	17921.050855	1.00005580341	17920.0507992	17920.0507992	0.000308741476525
